時間 [s],Load[kN],荷釁EDIM [N]
0,0.073032379,73.032379
90.523157,0.057029724,57.029724
91.023157,0.06023407,60.23407
91.523157,0.057029724,57.029724
92.023157,0.057029724,57.029724
92.523157,0.057029724,57.029724
93.023157,0.111446381,111.446381
93.523157,0.137042999,137.042999
94.023157,0.207443237,207.443237
94.523157,0.316257477,316.257477
95.023157,0.476284027,476.284027
95.523157,0.668315887,668.315887
96.023157,0.873146057,873.146057
96.523157,1.116371155,1116.371155
97.023157,1.362800598,1362.800598
97.523157,1.631641388,1631.641388
98.023157,1.906871796,1906.871796
98.523157,2.19171524,2191.71524
99.023157,2.489356995,2489.356995
99.523157,2.786998749,2786.998749
100.023157,3.100643158,3100.643158
100.523157,3.427085876,3427.085876
101.023157,3.753528595,3753.528595
101.523157,4.092769623,4092.769623
102.023157,4.432010651,4432.010651
102.523157,4.784049988,4784.049988
103.023157,5.139312744,5139.312744
103.523157,5.475349426,5475.349426
104.023157,5.846595764,5846.595764
104.523157,6.195449829,6195.449829
105.023157,6.553897858,6553.897858
105.523157,6.905937195,6905.937195
106.023157,7.25479126,7254.79126
106.523157,7.597236633,7597.236633
107.023157,7.94927597,7949.27597
107.523157,8.285312653,8285.312653
108.023157,8.611755371,8611.755371
108.523157,8.93819809,8938.19809
109.023157,9.267845154,9267.845154
109.523157,9.578285217,9578.285217
110.023157,9.875926971,9875.926971
110.523157,10.17677307,10176.77307
111.023157,10.46159744,10461.59744
111.523157,10.74644089,10746.44089
112.023157,11.01848602,11018.48602
112.523157,11.29051209,11290.51209
113.023157,11.54975891,11549.75891
113.523157,11.80578232,11805.78232
114.023157,12.05221176,12052.21176
114.523157,12.27945328,12279.45328
115.023157,12.51308441,12513.08441
115.523157,12.73389816,12733.89816
116.023157,12.93552399,12935.52399
116.523157,13.14996719,13149.96719
117.023157,13.33879471,13338.79471
117.523157,13.54681015,13546.81015
118.023157,13.72283936,13722.83936
118.523157,13.89886856,13898.86856
119.023157,14.07487869,14074.87869
119.523157,14.23490524,14234.90524
120.023157,14.39493179,14394.93179
120.523157,14.56455231,14564.55231
121.023157,14.71176148,14711.76148
121.523157,14.85898972,14858.98972
122.023157,14.99660492,14996.60492
122.523157,15.14701843,15147.01843
123.023157,15.28463364,15284.63364
123.523157,15.41906357,15419.06357
124.023157,15.54067612,15540.67612
124.523157,15.66228867,15662.28867
125.023157,15.78710556,15787.10556
125.523157,15.90553284,15905.53284
126.023157,16.02714539,16027.14539
126.523157,16.13916397,16139.16397
127.023157,16.24797821,16247.97821
127.523157,16.35679245,16356.79245
128.023157,16.46240234,16462.40234
128.523157,16.57121658,16571.21658
129.023157,16.70883179,16708.83179
129.523157,16.82723999,16827.23999
130.023157,16.98085785,16980.85785
130.523157,17.13129044,17131.29044
131.023157,17.26890564,17268.90564
131.523157,17.40013123,17400.13123
132.023157,17.52492905,17524.92905
132.523157,17.64656067,17646.56067
133.023157,17.76496887,17764.96887
133.523157,17.89299011,17892.99011
134.023157,18.02740097,18027.40097
134.523157,18.12021256,18120.21256
135.023157,18.24502945,18245.02945
135.523157,18.366642,18366.642
136.023157,18.47545624,18475.45624
136.523157,18.58108521,18581.08521
137.023157,18.68989945,18689.89945
137.523157,18.80189896,18801.89896
138.023157,18.89471054,18894.71054
138.523157,19.00352478,19003.52478
139.023157,19.09954071,19099.54071
139.523157,19.19876099,19198.76099
140.023157,19.29157257,19291.57257
140.523157,19.39079285,19390.79285
141.023157,19.48040009,19480.40009
141.523157,19.57641602,19576.41602
142.023157,19.6692276,19669.2276
142.523157,19.76203919,19762.03919
143.023157,19.84844208,19848.44208
143.523157,19.94125366,19941.25366
144.023157,20.02447128,20024.47128
144.523157,20.10448456,20104.48456
145.023157,20.18768311,20187.68311
145.523157,20.26449204,20264.49204
146.023157,20.34770966,20347.70966
146.523157,20.43092728,20430.92728
147.023157,20.51094055,20510.94055
147.523157,20.5941391,20594.1391
148.023157,20.66135407,20661.35407
148.523157,20.72536469,20725.36469
149.023157,20.7701683,20770.1683
149.523157,20.80856323,20808.56323
150.023157,20.86297989,20862.97989
150.523157,20.90778351,20907.78351
151.023157,20.91737747,20917.37747
151.523157,20.95899582,20958.99582
152.023157,21.00059509,21000.59509
152.523157,21.02619171,21026.19171
153.023157,21.05501175,21055.01175
153.523157,21.09981537,21099.81537
154.023157,21.13500595,21135.00595
154.523157,21.16382599,21163.82599
155.023157,21.20222092,21202.22092
155.523157,21.22783661,21227.83661
156.023157,21.27264023,21272.64023
156.523157,21.29823685,21298.23685
157.023157,21.32703781,21327.03781
157.523157,21.35583878,21355.83878
158.023157,21.36863709,21368.63709
158.523157,21.38145447,21381.45447
159.023157,21.39425278,21394.25278
159.523157,21.39425278,21394.25278
160.023157,21.40384674,21403.84674
160.523157,21.40384674,21403.84674
161.023157,21.40384674,21403.84674
161.523157,21.40384674,21403.84674
162.023157,21.40705109,21407.05109
162.523157,21.39425278,21394.25278
163.023157,21.36545181,21365.45181
163.523157,21.33983612,21339.83612
164.023157,21.31103516,21311.03516
164.523157,21.28543854,21285.43854
